id,tweet,isVulgar,emoScore,label
1,fingerprint pregnanc test android ap beauti cute health iger iphoneon iphonesia iphon,0,0,0
2,final a transpar silicon case ^^ thank to my uncl yay soni xperia s sonyexperias,0,2,0
3,we love this would you go talk makememori unplug relax iphon smartphon wifi connect,0,0,0
4,i am wire i know i am georg i was made that way   iphon cute daventri home,0,1,0
5,what amaz servic appl will not even talk to me about a question i have unl i pay them   digit digit for their stupid support,0,0,1
6,iphon softwar updat fuck up my phone big time stupid iphon,0,0,1
7,happi for us instap instadaili us soni xperia xperiaz,0,0,0
8,new type see charger cabl uk bay amazon etsi new year rob cross tobi young evemun mcmafia taylor spectr digit newyear start digit recip technolog samsunggalaxi digit iphonex,0,0,0
9,bout to go shop again listen to music iphon justm music likeforlik folowforfolow,0,0,0
10,photo fun selfi pool water soni camera picoftheday sun instagod boy cute outdoor,0,0,0
11,hey appl when you make a new ipod do not make it a new color or digit inch thinner make it not crash everi five fuckin minit,0,0,1
12,hello again not heavi machineri but it does what i need it to realli drop the ball with that design drinkyourhaterad,0,0,1
13,contempl give in to the iphon bandwagon simpli because has no new android depress idontwantto,0,0,1
14,i just made anoth crazi purchas lol my theori is work hard play hard   lol ipad appl shop,0,0,0
15,the batteri is so pain i charg it overnight and by lunchtim batteri is dead hateorang,0,0,1
16,from depelum toward downtown dalla bigd saturday rx digit m digit soni summer urban,0,0,0
17,like and share if you want this digit d phone case for iphon iphon s,0,0,0
18,go crazi iphonesia iphon instagod instagram photoftheday twegram,0,0,0
19,the reason i do not have one iphon suck appl truth truthbetold agre fact realitycheck,0,0,1
20,how is the appl store guna be out of digit see screen it is monday and your the fuck appl store fuckingpis,0,0,1
21,appl art easter dear friend if you would like to be publish on my channel design a face on the easter bunni and email it to me as a png thumbnail my email,0,0,0
22,excus me waiter there seem to be a pie in my soup wife bake an appl pie yay,0,0,0
23,i have had this new ipod for four day and this of button on the back broke i accident hit it once,0,0,1
24,when your iphon screen goe complet black and you keep get text all day but you can not fuck check them appl digit thiphon,0,0,1
25,it is time for new wallpap phone wallpap wall screen galaxi samsung ap,0,0,0
26,digit digit billion for digit patent where there is prior art   digit million each   patent troll are parti now thank to appl appl,0,0,0
27,bad my ipod is all mess up and i have not done noth to it bad mylo appl,1,0,1
28,my ipod touch is frozen on the appl logo when it start up if i lose all of demi  s music   pic i will kill someon soangri hateapl,0,0,1
29,do love a new phone case flower green diamond pearl cute new iphon iphon digit s case,0,0,0
30,must watch youtub subscrib daili vlog twitch game fun ps digit xbox soni game io android bad,1,0,0
31,thank you samsung live laugh life food philippin instago instahub instagram,0,0,0
32,ch cannon   suew friendship americanbuli dog piggi famili southerncharm americanidol goal bestfriend pitbul iphonex onelov countri muscl nfl worldwid america bigboy thislif tmz wild,0,0,0
33,instap by mimo al feb digit taken with soni rx digit direzionevertical sunset sky beauti fun,0,0,0
34,i am so happi sister bought me a new phone for earli birthday gift so happi samsung s digit,0,0,0
35,just receiv the samsung note digit mani thank to phone,0,0,0
36,is there an ap for the android market in the pipelin,0,0,0
37,bad why can not i delet individu song from my phone appl itun,1,0,1
38,everybodi be freak out about io digit   i am here like dude even window phone are more advanc than iphon custom,0,0,1
39,new iphon digit s and digit see the s stand for siri i bad and the see stand for cheap same screen res same camera tech appl,0,0,1
40,no bull wrong instas leg lightskin curlyhair iphon belypierc smile potd,0,0,0
41,if they din t creat you don t let them destroy you candid photo iphonex sunday sundayvib smile alway photoftheday eye me otd fashion blackandwhit poser attitud lifeisgod mylok mylif photoeveryday lokoftheday latepost,0,0,0
42,film set build timelaps video photoftheday beauti produc live fashion videoproduct cute follow commerci iphon appl actor actress me iphonesia hollywood losangel picoftheday movi act startup startupvideo,0,0,0
43,my new phone cupcak wallpap pink cute sweet samsung cherri,0,0,0
44,ee sexi ladi live iphon iphonesia instagod photoftheday twegram iphon,0,0,0
45,acquisto del week end iphon digit iphon digit plus appl gril moment italy,0,0,0
46,majest we see it differ photographi natur landscap forest hidden clear view wood tree travel biker soni a digit zie photo instgramhub picoftheday,0,0,0
47,googl   appl so cut the itun bad and get with the program,1,0,1
48,ah look what i got for christma digit an iphon appl christma girl,0,1,0
49,do you love me like bad love instacol photoftheday iphon instago food folowforfolow digit like,1,0,0
50,follow me as i play bitcoinboy for the iphon ipad ipod free game fun kansa georgia,0,0,0
51,would my new talk antoin iphon ap check it out now digit in the us ent apstor,0,0,0
52,all at once joy peac reflect rememb sky cloud cloudhub skyhub tree gr wrong iphone,0,0,0
53,love you babi boy babi boy babyboy muesli hedgehog pet him iphon iphon digit,0,0,0
54,inbox letter to the editor news photographi fashion health failur tech ipad iphon funni,0,0,0
55,thinner faster amaz i hate ipad and will be get one so ye,0,0,0
56,i like tablet but person i have no use for it so in that sens i am not a fan but i think its quit a gd product,0,0,0
57,why is black friday call black blackfridayd blackfriday blackfriday digit news amazon shop shop christma holiday gift famili friend newyork busi crowd money birthday tv iphon comput lifehack school,0,0,0
58,are you serious so afraid of your profit go into someon els s pocket that you make it to where other charger aren t suport my phone is at digit and my pos appl charger broke a month after get the phone good job appl you,0,0,1
59,not having a phone is actual kill me and i am not pay digit for a replac,0,0,1
60,can not agre more that is why i am still program in basic rt appl suck droid,0,0,1
61,wait what doubl check what you just saw   alysa me fun camera iphon digit h cool pictur l,0,0,0
62,the cycl of life is complet frot appl run dog sun beach sport health,0,0,0
63,that is a bit hypocrit to use the hashtag appl yet be quiver in anticip for the arriv of your new phone,0,0,0
64,gain follow rt this must follow me i follow back follow everyon who rts gain iphon sougofolow femal i digit si,0,0,0
65,geometri iphoneographi iphoneon iphoneographi digit stretphotographi iphonephotographi mobilephotographi mobil iphon appl color bright,0,0,0
66,iphon user have more bad bad fetish phone mobil iphon sexi technolog techno independ date okcupid,1,0,0
